id,text,dimension,indicator,perspective_type,setting
155,I'm confused—is the chatbot my first doctor now? It asked questions but didn't seem to understand my answers properly.,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,telehealth
175,How can an AI understand cultural differences in pain? It might misjudge someone from a different background.,Challenges of implementing AI in health care,Public misunderstanding of AI,community health worker,community clinic
187,"The system said I'm 'low risk.' Does that mean I can ignore symptoms, or is it just a probability thing?",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,urgent care
188,"My community health worker uses an AI to prioritize home visits. Does that mean the sickest get help first, or the easiest?",Challenges of implementing AI in health care,Public misunderstanding of AI,community member,community health program
173,My grandmother doesn't trust the AI reminder system. She thinks it's a trick to get her personal information.,Challenges of implementing AI in health care,Public misunderstanding of AI,caregiver,home care
164,"The AI said my risk for diabetes is high. Does that mean I definitely will get it, or is it just a guess?",Challenges of implementing AI in health care,Public misunderstanding of AI,patient,wellness visit
178,The AI said I'm a good candidate for a clinical trial. Does that mean I'm a guinea pig for the technology?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,research clinic
170,I don't understand why they need AI for simple things like refilling prescriptions. Isn't that just bureaucracy?,Challenges of implementing AI in health care,Public misunderstanding of AI,patient,pharmacy
239,"Using AI to analyze operational data, our health system has optimized lab specimen transport routes, getting samples to the lab faster.",Advantages of implementing AI in health care,System improvements,hospital operations director,large hospital system
273,"The AI triage system in the emergency department prioritizes cases based on severity, decreasing waiting times for critical patients.",Advantages of implementing AI in health care,System improvements,clinician,emergency department
258,"Smart formulary checks integrated with the e-prescribing system alert doctors to lower-cost generic alternatives automatically, saving patients money.",Advantages of implementing AI in health care,System improvements,clinical pharmacist,managed care organization
268,"The AI-powered diagnostic support tool has significantly reduced the time it takes to get test results, allowing faster treatment decisions.",Advantages of implementing AI in health care,System improvements,clinician,diagnostic support
286,"The AI system that automates appointment reminders has decreased no-show rates, making the schedule more efficient for everyone.",Advantages of implementing AI in health care,System improvements,health administrator,clinic
228,"I appreciate the AI system that sends automatic, personalized follow-up instructions after a visit; it reduces confusion and repeat calls to the office.",Advantages of implementing AI in health care,System improvements,patient,post-operative clinic
235,Our administrative staff spends less time on manual data entry since the AI accurately pulls information from referral forms into the EHR.,Advantages of implementing AI in health care,System improvements,medical office manager,specialty surgery practice
266,"Since the AI scheduling system was introduced, I've noticed my appointment times are more reliable and I spend less time waiting in the clinic.",Advantages of implementing AI in health care,System improvements,patient,clinic
217,"Using the AI-powered patient portal, I can now refill prescriptions and message my doctor in under a minute, which saves everyone time.",Advantages of implementing AI in health care,System improvements,patient,specialist clinic
221,The AI chatbot that handles initial symptom triage for the nurse line frees up human staff for more complex cases and shortens call wait times significantly.,Advantages of implementing AI in health care,System improvements,public health worker,telehealth service
279,"The AI-driven treatment planning tool provides evidence-based recommendations, cutting down the time we spend reviewing literature.",Advantages of implementing AI in health care,System improvements,clinician,treatment planning
265,"The AI tool that analyzes staff scheduling patterns has helped us create more equitable shift distributions, improving morale and retention.",Advantages of implementing AI in health care,System improvements,human resources director,nursing home
284,"The AI-powered symptom checker helps patients determine the appropriate level of care, reducing unnecessary ER visits.",Advantages of implementing AI in health care,System improvements,patient,telehealth
216,The new AI scheduling system cut my average wait time for a routine check-up from three weeks to just a few days.,Advantages of implementing AI in health care,System improvements,patient,primary care clinic
