ad_creative_body,Typology 1,Typology 2,Typology 3,Typology 4,sampled_code
"TCI will improve infrastructure, add jobs and increase GDP all while cutting emissions. A win-win for MA.",GA,,,,GA
"TCI will improve infrastructure, add jobs and increase GDP all while cutting emissions. A win-win for MD.",GA,,,,GA
Investments in energy efficiency continue to be an important program for natural gas utilities and their customers. Read about the various ways these programs are FuelingOurCommunties.,GA,,,,GA
"We are protecting health and safety in Weld County through modern, high-tech operations.",GA,PA,,,GA
"Were invested in renewable energy - including 20 wind farms, 4 solar facilities, 5 waste heat recovery facilities & a geothermal project.",GA,,,,GA
"Ever wonder what happens to garbage once it's sent to a landfill? In southern Washington state, Williams is turning gas created by decomposing garbage into renewable natural gas. Learn more about this green energy project here",GA,,,,GA
"As your neighbor in Weld County, we continue to find better ways to produce the energy Colorado needs. We are protecting health and safety by reducing our footprint, greenhouse gas emissions and truck traffic through the first comprehensive energy development plan approved by the State of Colorado.",GA,,,,GA
"From researching climate solutions to strengthening the economy, Americas natural gas and oil companies are ready to create a cleaner, stronger tomorrow. Like our page to join us on this journey.",GA,CA,PA,,GA
Weve set a near-term objective of a 56% absolute reduction of emission levels by 2030. Learn more about our climate commitment. cleanenergyfuture,GA,,,,GA
Our Climate Commitment: Reducing carbon emissions by 56% in just 10 years while on the path to net zero emissions by 2050.,GA,GC,,,GA
"Were committing to net-zero emissions by 2050. At Enbridge, were holding ourselves accountable.",GA,,,,GA
"Reducing emissions requires collaboration, tech, and dedicated people like Vanessa Ryan, Chevrons manager of carbon reduction.",GA,,,,GA
"From carbon-absorbing concrete to machine learning, these companies are developing amazing tech to reduce carbon emissions.",GA,,,,GA
Our MHIC facilitys CO2 emissions are dropping while PA and global emissions growth is slowing. Committed2PA bit.ly/2TRq4RF,GA,,,,GA
"When pipeline construction is complete, we restore land to its original state or better.",GA,,,,GA
"When it comes to protecting our land, stringent state and local regulations keep Colorado healthy while ensuring we can still responsibly access our states vast energy resources. Learn more about how we are protecting the world we all share while providing the energy Colorado needs:",GA,SA,,,GA
"TCI puts a carbon price on transportation. It will cut emissions, improve infrastructure and create jobs VA needs right now.",GA,,,,GA
America's natural gas and oil companies are using carbon capture to reduce greenhouse gas emissions. See more about the carbon capture process.,GA,,,,GA
"Were invested in renewable energy. Our Bemidji office is powered by solar energy, as part of a partnership between Native American-owned businesses & Enbridge.",GA,CB,,,GA
America needs a model for carbon pricing. It can start in VA. Lets make the Transportation and Climate Initiative law.,GA,,,,GA
"With more than 300 days of sunshine a year, Colorado is the perfect place for us to launch our solar power initiative. Read more in the The Denver Post:",GA,,,,GA
America needs a model for carbon pricing. PA can help. Read our op-ed on the Regional Greenhouse Gas Initiative.,GA,,,,GA
"Earlier this year, Williams announced its membership in The Environmental Partnership a collaboration of industry leaders focused on improving environmental performance.",GA,,,,GA
"With more than 100 days of sunshine a year, Colorado is the perfect place for us to launch our solar power initiative. Read more in the The Denver Post:",GA,,,,GA
Wind Can Help Kansas Build a Diverse Energy Mix. Learn how wind helps rural communities at,GA,,,,GA
"At Energy Transfer, we understand the importance of moving our industry forward with a keen eye to embracing technology that not only reduces emissions, but helps us to operate more efficiently. EnergyTransfer DoingItRight",GA,,,,GA
"Were focused on a practical, immediate path to reduce emissions by 2030, support the viability of renewables and grow a clean energy economy on our way to net zero by 2050. cleanenergyfuture",GA,,,,GA
Businesses agree: PA doesnt have to choose between the environment and economy. RGGI solves for both.,GA,,,,GA
Climate Commitment Announcement: Learn how Williams will achieve its commitment to reduce emissions by 56% in ten years while on the path to net zero emissions by 2050.,GA,PA,GC,,GA
"TCI will improve infrastructure, add jobs and increase GDP all while cutting emissions. A win-win for RI.",GA,,,,GA
"Michigans utilities are leading the charge in the transition to electric vehicles. Consumers Energy and DTE Energy are offering $23 million in rebates for public fast charging stations and Level 2 chargers for homes, workplaces and multifamily housing.",GA,,,,GA
Energy Independence Comes in All Forms. Learn how wind helps rural communities at,GA,,,,GA
We can tackle climate change and meet the world's energy needs by embracing new innovations together.,GA,,,,GA
"Between 2000-2016, the natural gas and oil industry invested $108 billion on new technologies to mitigate greenhouse gas emissions and U.S. emissions are at their lowest level in a generation. We must continue working together, to develop climate-related solutions that will protect the environment for future generations while producing the energy we need.",GA,,,,GA
"TCI will improve infrastructure, add jobs and increase GDP all while cutting emissions. A win-win for CT.",GA,,,,GA
Wind Can Help Nebraska Build a Diverse Energy Mix. Learn how wind helps rural communities at,GA,,,,GA
"Learn how one mans mission to protect the environment led to a collaboration between environmental groups, the EPA, and natural gas and oil companies. EarthDay EarthDayProgress",GA,,,,GA
"The natural gas and oil industry will meet the challenges ahead, for a stronger economy and cleaner future by expanding partnerships, developing best-in-class standards, driving new technologies, and supporting smarter regulations that boost innovation. EnergyForProgress",CA,GA,,,GA
"Ohio Natural Gas and Oil Delivers: Reliable, Affordable Power Well-Paying Jobs Manufacturing Rebound Clean Air Progress Learn More About EssentialOhioEnergy EssentialOhioEnergy.com",PA,CB,GA,,GA
"Celebrate Arbor Day by planting a tree! The Mlama Learning Center is hosting an awesome Arbor Day Giveaway on Saturday, November 7 from 10 a.m. to noon. November marks the beginning of the rainy season in Hawaii, which is the perfect time to plant a tree! We are happy to be one of the free tree pickup locations. Visit our Kamokila Station at 484 Kamokila Blvd., Kapolei to pick up your plant. One plant per family, while supplies last. For more info, please email info@malamalearningcenter.org or visit arbordayhawaii.org.",GA,,,,GA
"Remaining responsible stewards of our environment. At Williams, that's how we fuel the clean energy future.",GA,GC,,,GA
"Youve heard us talk about renewable fuels, but what are they? Watch this video to find out and visit www.RodeoRenewed.com to learn more about our plans to support demand for renewable fuels and help California meet its low-carbon objectives.",GA,,,,GA
Williams is involved in many renewable natural gas projects across the country. These gas-to-energy partnerships are fundamental in developing renewable energy. Learn more about how we're helping create a sustainable future here:,GA,,,,GA
"In a ""first-of-its-kind"" move among natural gas companies, DTE Gas has pledged to achieve net zero carbon emissions by 2050, expanding on the commitment the local energy provider already made to reach this goal in its electric operations. By working with suppliers, improving its operations, and partnering with customers, DTE Energy is helping to build a truly sustainable, cleaner energy future for all Michigan homes and businesses.",GA,,,,GA
Find Out How Wind Energy Powers Rural Economies. Learn how wind helps rural communities at,GA,,,,GA
ConocoPhillips has a deep commitment to sustainability across the globe. Because we all have a vested interest in the future.,GA,,,,GA
"TCI puts a carbon price on transportation. It will cut emissions, improve infrastructure and create jobs CT needs right now.",GA,,,,GA
"Hola means to rise up and make new. Island Energy is committed to doing our part to protect the environment through this new carbon offset program. Together, we are championing Hawaiis energy future with our island community in mind. TexacoInHawaii TexacoWithTechron Hoala Green HawaiiLife",GA,,,,GA
"Responsibly fueling our clean energy future, that's what we value at Williams.",GA,GC,,,GA
"TCI puts a carbon price on transportation. It will cut emissions, improve infrastructure and create jobs RI needs right now.",GA,,,,GA
"North Dakotas energy resources are important to our states economy. But the benefits go beyond revenue. They provide local jobs and help local communities in countless ways. With new technology and innovation, we dont have to choose between providing jobs or protecting the environment we can do both.",CA,CB,GA,,GA
Interested in learning more about how we create renewable natural gas at Williams? Find out more about our partners and our commitment to providing quality and safe natural gas:,GA,,,,GA
Natural gas is increasingly the go-to fuel because it generates less greenhouse gas emissions and has the flexibility to backup intermittent renewable sources. EnergyConversations,GC,PA,,,GC
"Natural gas provides reliable, cleaner and affordable fuel to generate electricity. In fact, its the primary reason the U.S. has reduced carbon dioxide emissions more than any other nation since 2000.",GC,PA,SA,,GC
"Williams Rocky Mountain Midstream is partnering renewable, solar power with natural gas, to provide your reliable energy.",GA,PA,GC,,GC
Carbon emission intensity tied to power generation continues to decline as natural gas gains a larger share of electricity generation.,GC,,,,GC
Learn how a chemical engineering professor at UT-Austin is working at the intersection of energy and the environment to ensure safe development of reliable natural gas.,PA,GC,,,GC
You wouldnt throw the baby out with the bath water and you shouldnt do it with energy either. Find out how traditional energy helps empower a cleaner energy future.,GC,,,,GC
Making natural gas even more efficient is a win for the economy and the environment. Learn how our engineers are designing new turbines thatll top their own records for efficiency.,GC,,,,GC
"From 2011 to 2017, New Mexico methane emissions decreased by 51% while oil and natural gas production climbed 31%. Add your name if you support the industry!",GC,,,,GC
"Methane emissions intensity in the Permian Basin has declined significantly over the past seven years, even as oil production nearly tripled over the same period.",GC,,,,GC
"Did you know? By switching from coal to cleaner-burning natural gas for power generation, the United States prevented 2.8 billion metric tons of CO2 emissions between 2005 and 2018. The CECAP is wanting to phase out natural gas.",GC,,,,GC
"Your clean energy future is here with todays natural gassupporting the growth of wind, solar, and renewable natural gas.",GC,PA,,,GC
How do we sustainably and responsibly meet the needs of our communities now and into the future?,GC,,,,GC
Part two in understanding the value of natural gas focuses on how the natgas industry is driving down emissions through customer energy efficiency programs and their own operational efforts. Take a look at the link:,GA,GC,,,GC
"We can all agree we need strong climate solutionsand with natural gas as a dominant energy source, U.S. carbon emissions are the lowest in a generation.",GC,,,,GC
"Authenticity, safety, reliability and responsibility. Our core values guide Williams in fueling our clean energy future.",GC,PA,,,GC
Making clean and efficient natural gas even more efficient is a win for the economy and the environment. Learn how our engineers are designing new turbines thatll top their own records for efficiency.,GC,,,,GC
"We always have been, and always will be, committed to our core values - authenticity, safety, reliability and responsibility - as we fuel the clean energy future.",GC,PA,,,GC
"Did you know that natural gas delivers reliable, affordable energy while supporting your clean energy future?",GC,PA,,,GC
"On the path to clean energy we are pursuing additional opportunities with renewable natural gas and solar as we prepare for future breakthrough technologies in carbon capture, synthetic gas and hydrogen as a fuel source. Read more about our climate commitment. cleanenergyfuture",GC,GA,,,GC
ADD YOUR NAME if you're a proud supporter of the oil and natural gas industry!,GC,,,,GC
"Colorado's oil and natural gas industry maintains some of the strongest energy regulations in the country. Our first-in-the-nation regulations go the extra mile to strengthen Colorado communities and provide clean energy today as we help build a sustainable, reliable energy future.",SA,PA,GC,,GC
"Williams Rocky Mountain Midstream has invested $1.3 billion into Colorados economy, helping grow your clean energy infrastructure.",GC,PA,,,GC
"At @WilliamsEnergyCo, we are responsible for providing 30% of the U.S. with safe, clean natural gas. You can count on us to deliver affordable, reliable natural gas to help heat your home, cook your food and generate your electricity.",GC,PA,,,GC
"The climate is changing, and we are committed to solutions that reduce the risks of climate change while providing the energy Colorado needs. Learn more about our commitment:",GC,,,,GC
There is no doubt that fracking has transformed our world and has allowed companies to produce more oil and natural gas than ever before. But what would happen if there was a ban on the activity?,SA,PA,GC,PB,GC
"We deliver natural gas that's safe, clean and affordable, and have for over 100 years. That's how we make clean energy happen.",PA,GC,,,GC
"Natural gas and oil companies are preparing for future growth and innovation by investing in a resilient workforce of scientists, engineers, skilled laborers and other increasingly sought-after careers. But some lawmakers are trying to stop this progress. EnergyConversations",CB,GC,,,GC
David is proud to support renewable natgas to help us reach our shared emissions reductions goals! Renewable natural gas could reduce emissions from natural gas by 95% in homes.,GC,,,,GC
"At Williams, safety drives everything we do. That's how we reliably fuel the clean energy future.",PA,GC,,,GC
"When we talk about Michigans clean energy future, we often focus on renewables like universal wind and solar. However, natural gas plays an increasingly critical role in helping Michigan lower carbon emissions, increase energy efficiency, and secure the cleaner energy future all Michiganders deserve.",GC,,,,GC
"At Williams, we're fueling the clean energy future by remaining committed to our values of authenticity, safety, reliability and responsibility.",GC,PA,,,GC
"We provide for Colorado communities every day, ensuring tomorrows clean energy future.",PA,GC,,,GC
"Through innovative partnerships, we've reduced CO2 emissions to the lowest in a generationand now we're working to reduce methane, too.",GC,,,,GC
David is proud to support innovative projects like renewable natgas to help us reach our shared emissions reductions goal. Learn how renewable natural gas is reducing emissions while helping provide for Americans energy needs.,GC,,,,GC
"One of Pennsylvanias greatest advantages is its clean, affordable, reliable, and accessible energy. Adding new taxes will only further burden our already-highly taxed natural gas industry and could mean higher energy costs for Pennsylvania families and businesses.",PA,GC,,,GC
"TXOGA president Todd Staples talks with FOX 7 Austin's Rudy Koski on FOX 7 about the MANY products made from oil and natural gas that make modern life possible - contact lenses, cell phones, medical devices, hand sanitizer - while also providing affordable, reliable, and cleaner energy.",PA,PB,GC,,GC
"With some of the strictest natural gas and oil regulations in the United States, Colorado leads the way. Learn more about the innovative ways Colorado is reducing methane emissions and improving air quality:",GC,,,,GC
You wouldnt throw the baby out with the bath water and you shouldnt do it with energy either. Find out how traditional energy helps empower a cleaner energy future?,GC,,,,GC
Solar helps power natural gas production in TX & CA: learn more about the partnerships that help keep America the world leader in reducing emissions.,GC,,,,GC
Weve reduced CO2 emission levels to the lowest in a generation.,GA,GC,,,GC
"AGA recognizes the value natgas and its infrastructure brings to meeting the countrys collective energy and environmental goals. Our blog has useful information on data related to several topical areas, including greenhouse gas emissions, natural gas infrastructure, natural gas bills and rates, building characteristics, and appliances and air quality. Check it out here:",GC,,,,GC
"Fracking touches almost every aspect of our lives in Colorado and across the country. But, have you ever wondered how fracking actually works? Watch to",PA,GC,,,GC
"Did you know 75% of Colorado homes rely on natural gas? We make your reliable, clean energy happen every day.",PA,GC,,,GC
"We deliver natural gas that's safe, clean and affordable, and have for over 100 years. That's how we make clean energy happen.",PA,GC,,,GC
"""The work of the problem-solvers of our industry is never done. We are partnering with the best minds to meet the rising demand of affordable energy, while driving progress on the serious challenges posed by climate change.""- @APIenergy President and CEO, @MJ_sommers SOAE2020 EnergyForProgress",CA,PA,,,PA
"Lets protect Michigan lakes, jobs and paychecks. Lets build the GreatLakesTunnel.",PA,CB,,,PA
Climate Commitment Announcement: Learn how Williams will achieve its commitment to reduce emissions by 56% in ten years while on the path to net zero emissions by 2050.,GA,PA,GC,,PA
"From heating homes to cooking meals, natural gas pipelines are powering our lives in Gorham. How familiar are you with pipeline safety?",PA,,,,PA
Fracking has been used in New Mexico for 50+ years without a single case of groundwater contamination.,PA,,,,PA
"We dont always think about it, but the U.S. has 2.7 million miles of pipelines delivering reliable and affordable energy to our homes and businesses, day in and day out. Its time we know where our energy comes from and celebrate it.",PA,,,,PA
"Michigan needs safe, affordable, and reliable clean energy. Our local energy providers are powering entire communities, from homes to small businesses, schools, and hospitals. With the right policies in place, we can be the MICleanEnergyLeaders our state and nation deserve. Watch our new video and SHARE with your friends to help raise awareness about Michigans clean energy future!",PA,,,,PA
"Advances in seismic imaging technology and data processing have improved how industry engineers ensure the safest, most environmentally friendly pipeline possible.",PA,,,,PA
"Find out how Tennessee families, businesses and manufacturers saved billions on energy! Learn more at:",PA,,,,PA
"Constant innovation, smart regulations, collaborative efforts, and industry initiatives help to ensure that industry is providing affordable and reliable energy to consumers, while reducing its environmental footprint and emissions. EnergyForProgress",PA,GA,,,PA
How has natgas remained the lowest cost to heating your home and what impact will it have on our nation's energy future? Our blog takes a deeper dive as part of the series: The Value of Natural Gas,PA,,,,PA
"This is Kevin, President and CEO of Auroras Chamber of Commerce an Aurora citizen for 40 years, Kevin has seen Natural Gas and Oil energize his community. SOAE2020 EnergyForProgress",PA,,,,PA
New Mexico is the third-largest producer of oil in the United States! LIKE OUR PAGE if you support safe oil and natural gas production!,SA,PA,,,PA
American energy delivering what's essential.,PB,PA,,,PA
Lets protect Michigan waterways. Lets build the GreatLakesTunnel.,PA,CB,,,PA
"With the unprecedented impact of COVID19, we must support American businesses and workers however we can. Learn how natgas helps business owners save on energy costs:",PA,,,,PA
"Energy infrastructure is essential to growing American energy leadership, keeping energy costs low for working families and promoting economic development. But red tape is stalling infrastructure projects not just in the energy industry, but across the entire U.S. economy.",SA,PA,CA,,PA
"With so much of the state-dependent on natural gas for electricity, it is no wonder why Virginia has saved billions over ten years. See the savings families and businesses are getting here.",PA,,,,PA
"Americans dont have to choose between environmental progress and affordable, reliable American energy and the solid jobs that come with developing our nations resources.",PA,GC,CB,,PA
"[D]espite falling solar costs, scale still has to be factored in. And on those terms, reworking the laws to benefit solar companies or individuals might hurt those who rely on the grid as a whole.",PA,,,,PA
"Around the clock, Ohio natural gas & oil is at work to power your life. We might not know natural gas & oil is there, but wed definitely notice if it were gone. Visit our website to learn more. EssentialOhioEnergy",PA,,,,PA
Remote-controlled shutdown is just one of the safety features built into the Wink to Webster pipeline system.,PA,,,,PA
Millennial and Gen Z voters agree that natgas is affordable reliable accessible and should be part of the solution to climate change.,PA,GC,,,PA
Aerial surveillance and ground patrols are part of the Wink to Webster Pipeline Systems commitment to safety.,PA,,,,PA
"Most pipeline projects go above and beyond the minimum safety and construction requirements, according to the Permian Basin Association of Pipeliners. Read more about how pipelines contribute to our nations self-reliance in the energy field.",PA,SA,,,PA
Michigan Governor Gretchen Whitmer recognized the hard work by the Michigan Public Service Commission and local energy providers to protect vulnerable Michigan households from service interruptions throughout the COVID-19 pandemic.,PA,,,,PA
"Households that use natural gas for heating, cooking and drying clothes save nearly $900 per year compared with families using electric appliances. Learn more from The Daily Signal:",PA,,,,PA
"Recent polling shows bipartisan support for domestic energy development and its potential to create jobs, reduce household costs and strengthen national security.",CB,SA,PA,,PA
"With so much uncertainty right now, knowing you can pay your bills and support your family is vital. Change is beneficial but we must ensure that our energy supplies continue to be reliable, affordable and resilient. Visit to learn more. PoweringPeople",PA,,,,PA
DidYouKnow? New pipelines are drilled deep under major water bodies to protect and avoid contact with water resources.,PA,,,,PA
"It takes a lot to run a business and meet your bottom line. There are plenty of things that could go wrong, but energy shouldnt be one of them. Learn more at consumerenergyalliance.org/2019/06/imagine-moving-power-company-says-you-cant-have-service",PA,,,,PA
"According to the U.S. Department of Energy, natgas is the lowest-cost source of energy available for households and more than 3 times cheaper than the average residential price of electricity.",PA,,,,PA
"Act now for SLO: On June 16th, the San Luis Obispo City Council plans to vote on an energy ordinance that would effectively ban the use of natural gas in new buildings. This move could result in higher costs and reduced energy reliability. We, the residents of San Luis Obispo, are asking the city council to pause this vote until our health and economic crisis is over SLO residents deserve to be able to make their voices heard in person!",PA,,,,PA
"During COVID, Americans experienced product shortages on things made overseas. With better access to affordable energy, U.S. companies can look to create jobs here at home and re-shore our supply chains.",CB,PA,,,PA
We constantly monitor the pipeline to help keep communities and the environment safe.,PA,,,,PA
"FACT: We believe that meaningful consultation and ongoing communications with all stakeholders are key to environmentally responsible energy infrastructure. These collaborative relationships enable us to meet our country's energy needs, promote economic prosperity, and foster America's energy independence. To learn more facts visit: DAPL DakotaAccess Pipelines Oil Community Respect SocialResponsibility",PA,SA,CA,,PA
"The U.S. Pipeline Safety and Hazardous Material Administration (PHMSA) issues minimum safety standards for the design, construction, inspection and operation of natural gas pipelines.",PA,,,,PA
"""This ballot measure is a vicious and dangerous attack on Alaskas economy, on our way of life and our economic future."" Joe Schierhorn and Jim Jansen, the co-chairmen of KEEP Alaska Competitive, share why it's so important to Vote No on 1 on November 3rd in a recent Fairbanks Daily News-Miner op-ed.",CA,PA,,,PA
"A new energy analysis shows that natgas companies add value to our economy in several ways, from providing affordable and efficient energy to supporting local economies and job creation.",CA,CB,PA,,PA
DidYouKnow 51% of parents spend upwards of 5 hours every week driving their kids around? Pipelines deliver the fuel that makes getting where you need to go affordable and convenient. PipelinesAreLifelines that fuel your family.,PA,,,,PA
"We exist to safely fuel quality of life. In Wisconsin, & right across North America.",PA,,,,PA
Local oil and gas production ensures Californians have reliable access to the energy we need.,SA,PA,,,PA
"For nearly 70 years, we've been delivering energy to Wisconsin. Safely & reliably.",PA,,,,PA
"At @WilliamsEnergyCo, we are responsible for providing 30% of the U.S. with safe, clean natural gas. You can count on us to deliver affordable, reliable natural gas to help heat your home, cook your food and generate your electricity.",GC,PA,,,PA
"This is Esmel. Hes a community organizer helping community leaders, residents, and small businesses understand what natural gas and oil make possible. EnergyForProgress",PA,,,,PA
"If you work in natural gas and oil, you know Coloradan families and businesses depend on each and every person in the supply chain for access to reliable energy. Your vote is no different. Coloradans and Americans alike are counting on you to cast your vote by mail or in-person on November 3rd.",PA,,,,PA
Support oil and natural gas producers who work every day to safely produce energy for New Mexico and America while protecting our communities and neighbors.,PA,,,,PA
"The Line 3 replacement will keep energy flowing in Minnesota and costs low for working families. Plus, it ""would come equipped with the latest technology for the prevention and early detection of spills.""",PA,,,,PA
"You already know that natural gas is a safe, affordable resource to heat homes and generate electricity. Williams makes the most of this energy source through natural gas liquids (NGLs), a byproduct of natural gas with a world of useful applications. Heres how we bring NGLs to you:",PA,,,,PA
"Pipelines are treated with a special coating that is resistant to high temperatures and protects the pipe from corrosion, providing a safe and efficient mode of transportation for Texas energy resources.",PA,,,,PA
"A raz de los desastres naturales, hoy ms que nunca, hemos aprendido que el acceso a energa confiable y de costo accesible es de suma importancia. Para la industria petrolera y de gas natural de Texas es una prioridad estar preparados para asegurar la entrega de energa que usted necesita.",PA,,,,PA
"We've learned that in the wake of a natural disaster, access to reliable and affordable energy is more important than ever. The oil and natural gas industry is making it a priority to stay hurricane ready to ensure the safe delivery of the energy you need.",PA,,,,PA
Williams Rocky Mountain Midstream employs 160 Coloradans who ensure your home and business stay up and running no matter what.,CB,PA,,,PA
Affordable and reliable homegrown Texas energy is able to safely reach your family's home thanks to pipelines.,PA,,,,PA
"Californias 55,000 oil and gas workers produce energy under the strictest environmental standards in the world. They work hard to produce reliable and affordable energy for all Californians.",CB,SA,PA,,PA
"UAVs are able to produce highly accurate land surveys, aiding ground and aircrews. Visit our profile for the WiderView",PA,,,,PA
"Line 5 is safe & the GreatLakesTunnel will make it even safer. When Enbridge discovered a screw anchor shifted, they shut down the pipeline & notified the state. Now inspections have determined the pipeline is safe. Its time to take the next step. Build the Great Lakes Tunnel.",PA,,,,PA
Texas pipeline projects boost the local economy and keep energy more affordable.,CA,PA,,,PA
"Who doesnt like protections, especially for the environment? The Great Lakes Tunnel will do just that PROTECT that means the water, the fish, and other wildlife. Support this project and the environmental protections it provides here:",PA,,,,PA
An expert study by the state of Michigan said moving Line 5 out of the water and into a Tunnel makes the risk of an oil spill in the Straits virtually zero. Build the GreatLakesTunnel.,PA,,,,PA
The steel pipe used to build the Wink to Webster Pipeline System was manufactured to stricter specifications than those used for standard pipe.,PA,,,,PA
"Homes and businesses throughout Virginia save more than $1,000 annually in energy costs thanks to innovation in natural gas and oil production that have helped to stabilize energy prices and support the areas workforce. EnergyForProgress",PA,CB,,,PA
"Affordable domestic energy boosts the Virginias economy, supports the areas robust tourism industry and improves the overall quality of life for all Virginians especially the commonwealths lower-income citizens.SOAE2020 EnergyForProgress",PA,,,,PA
"The Great Lakes Tunnel will be buried deep beneath the lakebed, leaving fish, wildlife and their ecosystem undisturbed. Thats why conservationists back the GreatLakesTunnel.",PA,,,,PA
An expert study by the state of Michigan said moving Line 5 out of the water and into a Tunnel makes the risk of an oil spill in the Straits virtually zero. Build the GreatLakesTunnel.,PA,,,,PA
Celebrate EnergyAwarenessMonth by learning about the surprising ways Ohio natural gas & oil improves your quality of life EssentialOhioEnergy,PA,,,,PA
Act now for South Pasadena: The South Pasadena City Council is considering an energy ordinance that would effectively ban the use of natural gas in new homes and buildings. This move would result in higher costs and reduced energy reliability. Click to tell the City Council that South Pasadena residents deserve to be able to make their voices heard in person!,PA,,,,PA
Thank you to all those keeping us safe. We're sending good energy your way.,PA,,,,PA
"Every day, we're fueling America's clean energy future by safely delivering natural gas across the country.",GC,PA,,,PA
Local skilled union workers receive robust training to ensure our pipelines are constructed safely,PA,,,,PA
"We need energy to liveto fuel our vehicles, heat our homes, and power our appliances. Pipelines make it possible.",PA,,,,PA
"Pipelines are custom designed for their operating conditions, constructed with quality certified steel, assembled with qualified personnel, and pass multiple inspections before operation. PipelineConstruction",PA,,,,PA
"Energy bills are always something businesses have to think about, lets just make sure they dont have to be the first thing they think about as they try to get back on their feet. Visit to learn more. PoweringPeople",PA,,,,PA
"We provide for Colorado communities every day, ensuring tomorrows clean energy future.",PA,GC,,,PA
"The Line 3 replacement will prioritize safety, utilizing high tech tools and around-the-clock monitoring to protect the environment while ensuring safe delivery of energy to consumers.",PA,,,,PA
Restricting local oil & gas production would force us to import more oil from foreign countries to meet our needs while increasing our gas prices.,SA,PA,,,PA
Michigans local energy providers are working to protect seniors and low-income households impacted by COVID-19. That means ensuring reliable energy without disruptionsregardless of ability to pay. Learn more on the AMP blog:,PA,,,,PA
Skilled union workers are committed to safe operations and construction of Mariner East at all times.,PA,CB,,,PA
"A nationwide ban on natural gas and oil leasing and development could reverse progress toward U.S. energy security, threaten Americas economic growth and cut nearly a million jobs.",PA,CA,CB,,PA
POLL: Pipelines are an essential part of Minnesota infrastructure that we all depend on for affordable energy. Do you support Minnesotas pipelines?,PA,,,,PA
"The gasoline we make gets people to their jobs to put food on their tables. Now millions of people need that gas to line up at food banks. We're proud of the role we play in helping people get what is essential,",PA,,,,PA
"Now more than ever, it's essential Michiganders can access the energy they need. Build the GreatLakesTunnel to safeguard Michigan's energy infrastructure and keep the lights on!",PA,,,,PA
Shutting down local California oil and gas production would further increase our cost of living.,PA,,,,PA
"We deliver energy safely throughout Pennsylvania, no matter the weather! Like our page to learn more.",PA,,,,PA
Pipelines help keep fuel affordable for Texans. pipelines texasstrong,PA,,,,PA
Lets keep Michigan open for business. Lets build the GreatLakesTunnel.,CB,PA,,,PA
"Pipelines operate safely and seamlessly in the background of our daily lives delivering needed resources without most people noticing, except for the crews that regularly inspect them.",PA,,,,PA
"This is Nancy, Executive Vice President of Hunter Truck, making connections right here in Moon Township. EnergyForProgress",CA,PA,SA,,PA
Winter continues & so do energy deliveries throughout Pennsylvania. Like our page to learn more!,PA,,,,PA
"Energy bills are always something businesses have to think about, lets just make sure they dont have to be the first thing they think about as they try to get back on their feet. Visit to learn more. PoweringPeople",PA,,,,PA
"With no local crude oil supply, Minnesota needs Line 3. Crude oil produces gas & refined products like diesel, jet fuel, asphalt & more.",PB,PA,,,PA
50% of Williams Rocky Mountain Midstream natural gas is used locally on the Front Range.,PA,GC,,,PA
Natgas utilities add one new customer every minute because families like the Wilsons prefer the reliability and efficiency of natural gas. See how natural gas is helping millions of Americans save $$$ on energy bills:,PA,,,,PA
"U.S. natural gas and oil supports millions of high-paying U.S. jobs and ensures the affordable, reliable delivery of energy to businesses and families.",CB,PA,CA,,PA
Pipelines help American families make ends meet by keeping the essentials affordable.,PA,PB,,,PA
Pipelines help keep energy costs low. Just the way we like things around here.,PA,,,,PA
The city of Dallas MUST accept natural gas as a safe and affordable form of energy.,PA,GC,,,PA
"If you work in natural gas and oil, you know North Dakotan families and businesses depend on each and every person in the supply chain for access to reliable energy. Your vote is no different. North Dakotans and Americans alike are counting on you to cast your vote Tuesday November 3rd.",PA,,,,PA
"The Chattanooga region attracted over 18,000 jobs and $3.6 billion in investments by having affordable energy. Do you know where all the jobs are? Learn more at:",CA,CB,PA,,PA
Do you know how much the average price has dropped for local natural gas customers? Learn more at:,PA,,,,PA
"If you work in natural gas and oil, you know New Mexican families and businesses depend on each and every person in the supply chain for access to reliable energy. Your vote is no different. New Mexicans and Americans alike are counting on you to cast your vote Tuesday November 3rd.",PA,,,,PA
"American pipelines transport energy safely, using drones, robots, and cloud computing to inspect lines and predict when issues might occur.",PA,,,,PA
"More savings on your energy bill means more money in your wallet for the holiday season. According to a new report from our energy analysis team, natgas customers can expect to see their bills up to 71% lower than alternatives this winter. Like this post if you want to save $ on your energy bills!",PA,,,,PA
"Peggy Noonan has some reassuring words as we all find ways to cope with the COVID-19 pandemic: Everything worksand will continue to workas long as we have electricity. Its what keeps the lights on, the oxygen flowing, the information going. Everything is the grid, the grid, the grid. Now more than ever, the importance of a strong, resilient electric grid cannot be overstated.",PA,,,,PA
"Americans rely on safe, efficient infrastructurefrom our roads, bridges and railways, to our electrical grid and energy pipelines. Americas oil production will remain critically important as our economy recovers from COVID-19 and the OPEC oversupply. Our latest blog post explains why the Dakota Access Pipeline is an important part of the mix, supporting our energy needs and modern way of life. DAPL DakotaAccess EnergyTransfer",PA,,,,PA
