id,construct,dimension,dimension_description,indicator,text
syn_0071,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The worst part is the guilt. If I go to bed at a normal time, I feel guilty for not studying. If I study late, I feel guilty for not sleeping. I'm trapped, and my sleep schedule is the casualty."
syn_0069,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"They say teens need 9 hours. I'm lucky to get 5. And it's never deep, restful sleep. It's just a light, anxious doze until the sunrise reminds me of the test I have. I'm chronically behind on rest."
syn_0339,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"I'm learning about medieval plagues for a standardized test. The connections to modern pandemics are obvious but ignored by the curriculum. The meaning is there, but we're not allowed to see it."
syn_0300,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"I just finished another worksheet. Same format, different chapter. I look at the problems and my brain just shuts off. Why am I spending hours on this? What is the actual point? It feels like we're just jumping through hoops for the sake of jumping."
syn_0337,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"My engineering project uses idealized conditions. In reality, nothing works this perfectly. We're solving problems that don't exist. The gap between our work and reality is a chasm."
syn_0316,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,The 'real-world application' my teacher promised is just a hypothetical problem from a 1990s textbook. It's not real. I'm tired of the disconnect. What are we actually preparing for?
syn_0302,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"Sometimes I stare at my textbook and think, 'Who decided this was important?' Learning about chemical bonds seems completely irrelevant to my life. I'm just doing it to get a grade to get into a program I'm not even sure I want."
syn_0312,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,My economics class uses models that assume perfect rationality. That's not the real world. I'm starting to think the whole subject is built on sand. Why are we taught these simplified fairy tales?
syn_0336,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,We watched a documentary and answered comprehension questions. It was reduced to a quiz. The film's powerful message was lost. I question why we can't just watch and think.
syn_0194,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My aunt is in the hospital, and my family is taking turns visiting. I’m staying home to study for a final. They say I’m heartless. But if I fail this class, my scholarship is gone. It’s a terrible choice, but I feel forced to choose school."
syn_0186,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My dad tried to talk to me about his job loss, and I was mentally drafting an essay response. I gave vague answers. He said, ‘You’re not listening.’ He’s right. My exhaustion has made me a terrible listener, and he needed me to be present."
syn_0163,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"We had a family dinner, and I was quiet the whole time, just thinking about my upcoming test. My dad asked if something was wrong, and I just said I was tired. But it’s more than tired—it’s like I’m not even there anymore."
syn_0183,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My grandparents are visiting from out of state, and I’m spending most of the time in my room reviewing for finals. My mom whispered that they think I don’t like them. How do I say that the fear of failing is louder than my desire to be with them?"
syn_0172,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My sister tried to talk to me about her day, and I gave one-word answers because I was mentally editing my essay. She got mad and said I never listen anymore. She’s right. My brain is always on school mode, and it’s pushing everyone away."
syn_0157,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My parents fight about my schedule. Mom says I work too hard and need a break. Dad says I’m not working hard enough. I’m caught in the middle, and their stress over my stress is making our home feel tense."
syn_0173,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I missed my parents’ anniversary dinner. They said it was fine, but I could hear the disappointment. They worked hard to afford it, and I chose to study instead. Now there’s this quiet space between us that I don’t know how to bridge."
syn_0161,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I haven’t called my grandma in two weeks. She leaves voicemails, and I tell myself I’ll call back after I finish this chapter. But there’s always another chapter. She probably thinks I don’t love her anymore."
syn_0164,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My best friend got into her dream college and wanted to celebrate. I was happy for her, but I also felt this huge wave of envy because I was too stressed to even enjoy it. She noticed I wasn’t enthusiastic. I’m becoming a bad friend."
syn_0160,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My little sister drew me a picture and left it on my desk to cheer me up. I saw it, but I was so focused on my notes that I didn’t even say thank you properly. She looked so sad. I’m failing her, just like I’m failing everyone else."
syn_0166,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My roommate complains that I’m always in the library. He says our apartment feels empty. I try to explain that if I don’t put in the hours, I’ll drown. But he doesn’t see that I’m drowning even when I’m here, studying."
syn_0187,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I haven’t seen my best friend in person in two months. We keep making plans, but something always comes up with school. She says I’m ‘too busy for her now.’ It’s true, and saying it out loud makes me feel like the worst friend ever."
