id,construct,dimension,dimension_description,indicator,text
syn_0038,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"It's the small things that get me. Another reading to add to the list. Another problem set. They seem tiny alone, but together they're a tsunami."
syn_0024,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I get anxiety just opening my backpack. The number of textbooks and binders is a visual representation of how much I have to do. It's overwhelming.
syn_0046,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm surviving, not thriving. My entire existence revolves around school to-do lists. There's no part of my day that isn't touched by the workload."
syn_0033,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I've stopped making plans. What's the point? I'll just have to cancel because I'll be buried in schoolwork. It's easier to just accept I'm not available.
syn_0041,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,My study techniques don't work anymore because the volume is too high. Efficient effort is still not enough hours. I'm just overwhelmed by the scale of it.
syn_0008,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"The list never gets shorter. I cross one thing off and two more appear. I'm just going through the motions, completely swamped by everything they expect us to do."
syn_0076,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My teacher gave us a weekend assignment on Friday. That's a guarantee of a sleepless weekend. I'll be up Saturday night finishing it, then Sunday night stressing about the week ahead. No break. Ever."
syn_0054,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The pressure to get into a good college means I cram until dawn most nights. My body is exhausted, but my mind is stuck on calculus problems. I drag myself to first period, and it's a miracle I don't fall asleep."
syn_0055,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My parents don't get it. They say just go to sleep, but if I don't finish this history project, my grade tanks. So I pull all-nighters, and the next day I'm too drained to even function in my other classes."
syn_0095,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The caffeine isn't working anymore. I drink a coffee and I'm still so, so tired. My body has adapted to the constant sleep deprivation and just accepts it as the new normal. That's a scary place to be."
syn_0067,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My eyes burn. My head feels heavy. I know I need to sleep more than I need to finish this problem set, but the grade is worth so much. So I push through, and my body pays for it for days after."
syn_0053,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I don't remember the last time I slept through the night. Every time I close my eyes, I see the list of overdue assignments. I'm starting to think my bed is just another place to stress about school."
syn_0319,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"My philosophy class is just summarizing dead guys. No debate, no application to now. I leave feeling like I've attended a museum, not a class. Where's the living philosophy?"
syn_0309,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,I'm learning a foreign language but we only practice for exams. I can't actually hold a conversation. So what's the end goal? A high score on a test that proves nothing about real ability?
syn_0336,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,We watched a documentary and answered comprehension questions. It was reduced to a quiz. The film's powerful message was lost. I question why we can't just watch and think.
syn_0315,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"My typing class is just speed drills. In 2024. I can already type. Why is this a requirement? It feels like a relic, a box we check without any thought to its purpose now."
syn_0301,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,My teacher said this essay will help us 'think critically.' But I'm just regurgitating quotes from a book I don't care about to meet a rubric. When will I ever need to analyze this specific symbol again? It all feels so performative.
syn_0314,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,We analyze poems for hidden meanings the poet probably never intended. It feels like a parlor game. I wonder if anyone else feels like we're just making things up to feel smart.
syn_0327,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"We read an article that was clearly written to be 'teachable'—simplified, lacking depth. It's a processed version of knowledge. I question why we aren't given the real, messy thing."
syn_0313,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,I spent all weekend on a presentation I'll forget by next month. The audience (my teacher) will skim it and assign a number. Where is the meaning in that cycle? It's just output for input.
syn_0306,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,Writing this lab report feels so pointless. We followed a script to get a predetermined result. The 'scientific method' is just a game we play. I'm not learning anything about actual inquiry.
syn_0328,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,The whole semester is prepping for one final exam. That's the stated goal. Everything else is just filler. I question an education system whose sole purpose seems to be a single test.
syn_0342,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"My music theory class is about passing the exam, not about hearing or feeling music. We manipulate abstract symbols. I question when music education stopped being about music."
syn_0347,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"We built a bridge out of popsicle sticks for a competition. It's cool, I guess. But the physics we 'applied' was minimal. The real lesson was how to follow instructions meticulously. What did we really build?"
syn_0337,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"My engineering project uses idealized conditions. In reality, nothing works this perfectly. We're solving problems that don't exist. The gap between our work and reality is a chasm."
syn_0349,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,I'm reading secondary sources about a primary source we never read. We're studying summaries of summaries. The chain of meaning is so long and broken. I wonder if anyone remembers the original point.
syn_0346,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"My literature class is a checklist of 'must-know' authors and themes. There's no room for personal connection or discovery. It's a canon to be consumed, not explored. The meaning is in the coverage."
syn_0303,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"We spent three weeks on a project that no one will ever see again. The whole thing was just for a checkmark in the gradebook. I don't understand why we can't learn things that actually stick with you, you know?"
syn_0343,School burnout,Cynicism toward the meaning of school,"Loss of meaning, interest, and motivation regarding school and schoolwork",questioning the meaning of schoolwork,"The case study we analyzed was clearly chosen because it had a neat, happy ending. Real business is messy. This feels like education-by-fairy-tale. I'm growing cynical about the narratives we're fed."
syn_0159,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My friends have stopped inviting me out because I always say I have to study. They joke that I’m a hermit. It’s funny until I realize I’m actually isolating myself to keep up, and it’s costing me my social life."
syn_0160,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My little sister drew me a picture and left it on my desk to cheer me up. I saw it, but I was so focused on my notes that I didn’t even say thank you properly. She looked so sad. I’m failing her, just like I’m failing everyone else."
syn_0150,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,I snapped at my little brother last night because he was loud while I was trying to finish a project. My mom told me I’m always irritable and that school is changing me. I just feel like I don’t have the energy to be a good sibling right now.
syn_0183,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My grandparents are visiting from out of state, and I’m spending most of the time in my room reviewing for finals. My mom whispered that they think I don’t like them. How do I say that the fear of failing is louder than my desire to be with them?"
syn_0177,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My dad keeps saying, ‘You’re young, you should be having fun.’ But when I try to relax, all I can think about is the paper I haven’t started. So I go back to my desk, and he shakes his head. It’s like we’re speaking different languages."
syn_0187,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"I haven’t seen my best friend in person in two months. We keep making plans, but something always comes up with school. She says I’m ‘too busy for her now.’ It’s true, and saying it out loud makes me feel like the worst friend ever."
syn_0166,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My roommate complains that I’m always in the library. He says our apartment feels empty. I try to explain that if I don’t put in the hours, I’ll drown. But he doesn’t see that I’m drowning even when I’m here, studying."
syn_0175,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,school pressure harming close relationships,"My mom made my favorite meal, and I ate it quickly in front of my laptop. She asked if I even tasted it. I didn’t. The pressure to finish my reading made me rush through a moment that should have been nice. I’m hurting her without even trying."
